Stop_ID,CTA Stop Name,Direction,Routes,Ward,LONGITUDE,LATITUDE,Location
9620,Austin & Railroad Ave (Blue Line),NB,91,29,-87.774232,41.870322,"(41.870322, -87.774232)"
9798,Gale & Milwaukee,SWB,"85,88",45,-87.763491,41.970525,"(41.970525, -87.763491)"
10178,69th Red Line Station,EB,"N5,67",6,-87.626013,41.769099,"(41.769099, -87.626013)"
10228,Cicero & North Ave,SB,54,37,-87.746256,41.909316,"(41.909316, -87.746256)"
10252,Cicero Blue Line Station,SB,54,29,-87.745063,41.871614,"(41.871614, -87.745063)"
10292,Cicero & Madison,NB,54,28,-87.745173,41.880347,"(41.880347, -87.745173)"
10492,Irving Park & Milwaukee/Cicero,EB,"54A,80",45,-87.746596,41.953343,"(41.953343, -87.746596)"
10502,55th Street & Pulaski,EB,55,13,-87.72267,41.793143,"(41.793143, -87.72267)"
10519,55th Street & Western Avenue,EB,55,15,-87.684239,41.793796,"(41.793796, -87.684239)"
10524,Garfield & Damen,EB,55,15,-87.673988,41.793501,"(41.793501, -87.673988)"
10528,Garfield & Ashland,EB,55,16,-87.664294,41.793616,"(41.793616, -87.664294)"
10536,Garfield & Halsted,EB,55,20,-87.644799,41.793895,"(41.793895, -87.644799)"
10548,Garfield Green Line Station,EB,55,3,-87.618326,41.794388,"(41.794388, -87.618326)"
10566,55th Street & Hyde Park Blvd,WB,"55,171",5,-87.584154,41.795284,"(41.795284, -87.584154)"
10575,55th Street & Ellis,WB,55,5,-87.601022,41.795112,"(41.795112, -87.601022)"
10582,Garfield Green Line Station,WB,55,3,-87.61831,41.794816,"(41.794816, -87.61831)"
10589,Garfield Red Line Station,WB,"55,59",3,-87.6311,41.794585,"(41.794585, -87.6311)"
10792,71st Street & Cottage Grove/S. Chicago,EB,71,5,-87.60473,41.765748,"(41.765748, -87.60473)"
10854,75th Street & Exchange,WB,"N5,71,75",7,-87.560031,41.759213,"(41.759213, -87.560031)"
10973,Diversey & Narragansett,EB,76,36,-87.785821,41.930935,"(41.930935, -87.785821)"
11005,Logan Square Blue Line Station,EB,76,35,-87.707798,41.92989,"(41.92989, -87.707798)"
11037,Diversey & Sheridan/Lakeview,WB,76,44,-87.63963,41.932961,"(41.932961, -87.63963)"
11040,Diversey & Clark/Broadway,WB,76,44,-87.64532,41.932849,"(41.932849, -87.64532)"
11044,Diversey Brown Line Station,WB,76,44,-87.652961,41.932714,"(41.932714, -87.652961)"
11071,Diversey & Milwaukee/Kimball,WB,76,35,-87.711983,41.932041,"(41.932041, -87.711983)"
11119,Kimball & Bryn Mawr,SB,82,39,-87.713809,41.983084,"(41.983084, -87.713809)"
11123,Kimball & Foster,SB,"82,93",39,-87.713643,41.975378,"(41.975378, -87.713643)"
11143,Kimball & Diversey/Milwaukee,SB,82,35,-87.712397,41.932291,"(41.932291, -87.712397)"
11174,Homan & Madison,SB,82,28,-87.711101,41.881099,"(41.881099, -87.711101)"
11267,Kimball & Diversey/Milwaukee,NB,82,35,-87.712224,41.932303,"(41.932303, -87.712224)"
11271,Kimball & Belmont (Blue Line),NB,82,35,-87.712383,41.93917,"(41.93917, -87.712383)"
11307,Montrose & Neenah,EB,78,38,-87.790587,41.960029,"(41.960029, -87.790587)"
11324,Montrose & Cicero,EB,78,45,-87.747719,41.960648,"(41.960648, -87.747719)"
11326,Montrose Blue Line Station,EB,78,45,-87.743552,41.960706,"(41.960706, -87.743552)"
11373,Montrose Brown Line Station,WB,78,47,-87.675155,41.961558,"(41.961558, -87.675155)"
11554,Central & North Ave,SB,85,29,-87.765799,41.909516,"(41.909516, -87.765799)"
11583,Central & Corcoran (Green Line),NB,85,37,-87.76499,41.887105,"(41.887105, -87.76499)"
11667,Touhy & Lehigh,EB,85A,41,-87.773448,42.011846,"(42.011846, -87.773448)"
11877,California & Devon,SB,93,50,-87.699728,41.997646,"(41.997646, -87.699728)"
12515,Addison Blue Line Station,EB,152,35,-87.717525,41.946417,"(41.946417, -87.717525)"
12533,Addison Brown Line Station,EB,152,47,-87.674648,41.946842,"(41.946842, -87.674648)"
12554,Addison Red Line Station,WB,152,44,-87.653611,41.947299,"(41.947299, -87.653611)"
12639,Central Street & Girard (Purple Line),EB,201,0,-87.685817,42.064163,"(42.064163, -87.685817)"
14010,95th Red Line Station,SB,112,21,-87.624036,41.722304,"(41.722304, -87.624036)"
14011,95th Red Line Station,NB,"34,119",21,-87.624764,41.722299,"(41.722299, -87.624764)"
14061,LaSalle & Quincy,NB,"134,135,136,156",42,-87.632166,41.878724,"(41.878724, -87.632166)"
14067,18th Street & Paulina (Pink Line),WB,18,25,-87.669097,41.85781,"(41.85781, -87.669097)"
14126,Kedzie Orange Line Station,NEB,51,14,-87.704456,41.804866,"(41.804866, -87.704456)"
14132,Western Orange Line Station,SB,"48,49,X49",15,-87.684005,41.80496,"(41.80496, -87.684005)"
14137,Halsted Orange Line Station,WB,62,11,-87.647977,41.84674,"(41.84674, -87.647977)"
14139,69th Red Line Station,WB,"N5,30,67",6,-87.625853,41.76882,"(41.76882, -87.625853)"
14143,Cumberland Blue Line Station,SWB,81W,41,-87.839028,41.98368,"(41.98368, -87.839028)"
14145,Harlem Blue Line Station,NB,90,41,-87.808408,41.981962,"(41.981962, -87.808408)"
14409,Davis Purple Line Station,SB,93,0,-87.683473,42.047775,"(42.047775, -87.683473)"
14428,North Ave & Clybourn/Halsted (Red Line),WB,"N9,72",43,-87.648504,41.910989,"(41.910989, -87.648504)"
14459,Roosevelt & Halsted,EB,"12,18,N62",11,-87.646325,41.867071,"(41.867071, -87.646325)"
14467,Madison & Halsted,WB,20,27,-87.647558,41.881853,"(41.881853, -87.647558)"
14476,Ashland Orange Line Station,SB,"9,X9",25,-87.665386,41.839035,"(41.839035, -87.665386)"
14485,Michigan & Congress,NB,"1,3,4,6,J14,26,28",42,-87.624126,41.87554,"(41.87554, -87.624126)"
14488,Michigan & Superior,SB,"3,10,26,125,143,146,147,148,151",42,-87.624422,41.895823,"(41.895823, -87.624422)"
14495,Halsted & 69th Street,NB,8,6,-87.644422,41.769028,"(41.769028, -87.644422)"
14497,Halsted & 103rd Street,NB,"8A,108",34,-87.642709,41.707072,"(41.707072, -87.642709)"
14502,47th Street & Pulaski,EB,47,14,-87.723249,41.807815,"(41.807815, -87.723249)"
14508,Dearborn & Jackson,NB,"22,24,36,62",4,-87.629201,41.878035,"(41.878035, -87.629201)"
14522,Chicago & Kedzie,WB,66,27,-87.706738,41.89563,"(41.89563, -87.706738)"
14529,Western & Berwyn,SB,"49,49B",40,-87.689336,41.977533,"(41.977533, -87.689336)"
14546,Western & Madison,SB,"49,X49",27,-87.686556,41.881005,"(41.881005, -87.686556)"
14550,Irving Park & Central,EB,80,38,-87.766681,41.953094,"(41.953094, -87.766681)"
14554,Western & Roosevelt,SB,"49,X49,157",28,-87.686157,41.866296,"(41.866296, -87.686157)"
14555,Western & Cermak,SB,"49,X49",28,-87.685756,41.851825,"(41.851825, -87.685756)"
14558,Irving Park & Kedzie,EB,80,33,-87.707632,41.953825,"(41.953825, -87.707632)"
14559,McCormick Place,NB,"3,21",4,-87.618849,41.851536,"(41.851536, -87.618849)"
14572,Cottage Grove & 75th Street,NB,4,8,-87.605318,41.758865,"(41.758865, -87.605318)"
14573,Cottage Grove & 71st Street/South Chicago,NB,4,5,-87.60547,41.766173,"(41.766173, -87.60547)"
14574,Cottage Grove & 47th Street,NB,4,4,-87.606462,41.809748,"(41.809748, -87.606462)"
14576,Western & 63rd Street,SB,"49,X49",16,-87.683783,41.779029,"(41.779029, -87.683783)"
14592,Western & Lawrence,NB,"11,49,49B,X49",47,-87.688769,41.968857,"(41.968857, -87.688769)"
14627,Pulaski & Chicago,SB,"53,N66",37,-87.726178,41.895154,"(41.895154, -87.726178)"
14760,Michigan & 16th Street,NB,"1,3,4,12",3,-87.62388,41.860502,"(41.860502, -87.62388)"
14766,Madison & Homan,WB,20,28,-87.711238,41.880994,"(41.880994, -87.711238)"
14771,Cicero & Belmont,SB,54,31,-87.747024,41.938631,"(41.938631, -87.747024)"
14774,Grand & Milwaukee (Blue Line),WB,65,27,-87.648147,41.891251,"(41.891251, -87.648147)"
14775,Illinois & State,EB,"29,65",42,-87.627745,41.890819,"(41.890819, -87.627745)"
14778,87th Street & Racine,EB,"24,87",21,-87.653046,41.735844,"(41.735844, -87.653046)"
14783,Ashland & Lake (Green Line),NB,"9,X9",27,-87.666772,41.88522,"(41.88522, -87.666772)"
14816,Kedzie & 63rd Street,NB,"52,52A",16,-87.70305,41.77914,"(41.77914, -87.70305)"
14832,North Ave & Kimball/Homan,WB,72,26,-87.712315,41.910155,"(41.910155, -87.712315)"
14840,Madison & Kedzie,WB,20,28,-87.706375,41.881024,"(41.881024, -87.706375)"
14844,Central & Madison,NB,85,29,-87.764762,41.88047,"(41.88047, -87.764762)"
14855,63rd Street & California,EB,63,17,-87.693167,41.779044,"(41.779044, -87.693167)"
14912,Belmont & Lincoln/Ashland,EB,77,32,-87.668256,41.939643,"(41.939643, -87.668256)"
14943,Ewing & 106th Street,NB,30,10,-87.535193,41.70298,"(41.70298, -87.535193)"
14950,Michigan & 111th Street,NB,"34,119",9,-87.620971,41.692747,"(41.692747, -87.620971)"
14951,Michigan & 111th Street,SB,"34,119",9,-87.62112,41.692401,"(41.692401, -87.62112)"
14953,35th Street & State (Green Line),EB,35,3,-87.626172,41.830952,"(41.830952, -87.626172)"
14954,Roosevelt & Pulaski,EB,12,24,-87.72491,41.866082,"(41.866082, -87.72491)"
14956,Madison & Central,EB,20,29,-87.764612,41.880141,"(41.880141, -87.764612)"
14959,Madison & Cicero,EB,20,28,-87.744968,41.880392,"(41.880392, -87.744968)"
14964,Western & Irving Park,SB,"49,X49",47,-87.688588,41.953731,"(41.953731, -87.688588)"
14969,26th Street & Kedzie,WB,60,12,-87.705221,41.844565,"(41.844565, -87.705221)"
14974,Cicero & Fullerton,SB,54,31,-87.746436,41.92396,"(41.92396, -87.746436)"
14981,Roosevelt & California,WB,12,28,-87.696209,41.866606,"(41.866606, -87.696209)"
14982,Roosevelt & California,EB,12,28,-87.695645,41.866405,"(41.866405, -87.695645)"
15011,North Ave & Central,EB,72,37,-87.765465,41.909272,"(41.909272, -87.765465)"
15012,Laramie & North Ave,SB,57,37,-87.755988,41.909107,"(41.909107, -87.755988)"
15015,Irving Park & Narragansett,EB,80,38,-87.786249,41.952848,"(41.952848, -87.786249)"
15025,87th Street & Cottage Grove,WB,87,6,-87.605208,41.736711,"(41.736711, -87.605208)"
15026,95th Street & Halsted,EB,"N9,95W,112",21,-87.642801,41.721355,"(41.721355, -87.642801)"
15136,Madison & Pulaski,WB,20,28,-87.725953,41.880833,"(41.880833, -87.725953)"
15160,95th Street & Wentworth,WB,"N9,95W,108,112",21,-87.629179,41.721755,"(41.721755, -87.629179)"
15210,63rd Street & Western,EB,63,16,-87.683161,41.779085,"(41.779085, -87.683161)"
15241,Michigan & Monroe,NB,"3,4,6,J14,26,143",42,-87.624187,41.880665,"(41.880665, -87.624187)"
15382,Foster & Pulaski (Jewel),WB,92,39,-87.72989,41.975585,"(41.975585, -87.72989)"
15391,67th Street & Oglesby,WB,"6,26,67",5,-87.568204,41.773596,"(41.773596, -87.568204)"
15426,Soldier Field & Field Museum,WB,"130,146",4,-87.614516,41.865126,"(41.865126, -87.614516)"
15495,Jeffery & 87th Street,NB,"J14,15",8,-87.575626,41.736961,"(41.736961, -87.575626)"
15537,King Drive & 63rd Street (Green Line),SB,3,20,-87.615701,41.780383,"(41.780383, -87.615701)"
15683,35th/Archer Orange Line Station,NEB,62,12,-87.681216,41.828905,"(41.828905, -87.681216)"
15867,State & 79th Street,NB,"29,75",6,-87.624487,41.751457,"(41.751457, -87.624487)"
15886,87th Street Red Line Station,WB,87,21,-87.624766,41.736411,"(41.736411, -87.624766)"
15897,Monroe & Wabash,EB,J14,42,-87.62592,41.880743,"(41.880743, -87.62592)"
15904,LaSalle & Wacker/Lake,NB,"134,135,136,156",42,-87.6323,41.886302,"(41.886302, -87.6323)"
15959,Irving Park & Harlem,EB,80,38,-87.806868,41.95269,"(41.95269, -87.806868)"
17097,79th Red Line Station,EB,79,6,-87.624941,41.750899,"(41.750899, -87.624941)"
17309,111th Street & Western,EB,112,19,-87.680647,41.691698,"(41.691698, -87.680647)"
17363,King Drive & 79th Street,SB,3,6,-87.615039,41.750921,"(41.750921, -87.615039)"
17379,Belmont Red/Brown/Purple Line Station,WB,77,44,-87.653062,41.93987,"(41.93987, -87.653062)"
17404,Western & North Ave,NB,"49,X49",32,-87.687097,41.910477,"(41.910477, -87.687097)"
17564,Jeffery & 71st Street,SB,"N5,J14,15",5,-87.576383,41.766336,"(41.766336, -87.576383)"
17572,Cottage Grove & 63rd Street (Green Line),NB,4,20,-87.605819,41.780568,"(41.780568, -87.605819)"
17706,100th Street & Paxton,EB,"J14,15",7,-87.569633,41.713395,"(41.713395, -87.569633)"
17967,Cottage Grove & 67th Street,SB,4,20,-87.605894,41.772906,"(41.772906, -87.605894)"
